,product_id,product_name,score,key_ings,summary3,category_code
10,A000000165355,AHC 허브솔루션 위치하젤 토너 500ml,0.26382062,"히알루론산, 은행나무잎추출물, 애플민트잎추출물","1) 성분 근거: 히알루론산, 은행나무잎추출물, 애플민트잎추출물 기반으로 설계된 제품입니다.
2) 사용감/적합: 모델 점수 0.26로, 피부 타입별 반응 편차 가능 — 소량 테스트 권장합니다.
3) 주의/보완: 민감성·임산부는 전성분 확인 및 패치 테스트 후 사용하세요.",skin_toner
11,A000000213413,리얼베리어 익스트림 에센스 토너 300ml 기획 (+익스트림 크림 25ml),0.25199807,"판테놀, 알란토인, 히알루론산","1) 성분 근거: 판테놀, 알란토인, 히알루론산 기반으로 설계된 제품입니다.
2) 사용감/적합: 모델 점수 0.25로, 피부 타입별 반응 편차 가능 — 소량 테스트 권장합니다.
3) 주의/보완: 민감성·임산부는 전성분 확인 및 패치 테스트 후 사용하세요.",skin_toner
12,A000000213171,[리즈포카증정/수분진정/화해1위] 에스네이처 아쿠아 오아시스 토너 300ml 기획 (+수분크림 30ml),0.21214674,"베타인, 판테놀, 알란토인","1) 성분 근거: 베타인, 판테놀, 알란토인 기반으로 설계된 제품입니다.
2) 사용감/적합: 모델 점수 0.21로, 피부 타입별 반응 편차 가능 — 소량 테스트 권장합니다.
3) 주의/보완: 민감성·임산부는 전성분 확인 및 패치 테스트 후 사용하세요.",skin_toner
13,A000000180474,[증정기획/대용량] 토리든 다이브인 저분자 히알루론산 토너 500ml 기획 (+화장솜 60매 증정),0.20807536,"베타인, 판테놀, 알란토인","1) 성분 근거: 베타인, 판테놀, 알란토인 기반으로 설계된 제품입니다.
2) 사용감/적합: 모델 점수 0.21로, 피부 타입별 반응 편차 가능 — 소량 테스트 권장합니다.
3) 주의/보완: 민감성·임산부는 전성분 확인 및 패치 테스트 후 사용하세요.",skin_toner
14,A000000159921,라로슈포제 시카플라스트 로션 B5 판테놀 시카에센스 토너 200ml,0.17667212,,"1) 성분 근거: 핵심 성분 정보가 부족합니다.
2) 사용감/적합: 모델 점수 0.18로, 피부 타입별 반응 편차 가능 — 소량 테스트 권장합니다.
3) 주의/보완: 민감성·임산부는 전성분 확인 및 패치 테스트 후 사용하세요.",skin_toner
15,A000000225063,키엘 칼렌듈라 허벌 엑스트렉트 토너 (125ml/250ml),0.17667212,줄기추출물 글리세린 마시멜로뿌리추출물 소듐하이드록사이드 시트릭애씨드,"1) 성분 근거: 줄기추출물 글리세린 마시멜로뿌리추출물 소듐하이드록사이드 시트릭애씨드 기반으로 설계된 제품입니다.
2) 사용감/적합: 모델 점수 0.18로, 피부 타입별 반응 편차 가능 — 소량 테스트 권장합니다.
3) 주의/보완: 민감성·임산부는 전성분 확인 및 패치 테스트 후 사용하세요.",skin_toner
16,A000000189181,[피지쓱싹] 브링그린 티트리시카수딩토너 250mL/500mL 기획,0.15457591,"베타인, 판테놀, 줄기추출물","1) 성분 근거: 베타인, 판테놀, 줄기추출물 기반으로 설계된 제품입니다.
2) 사용감/적합: 모델 점수 0.15로, 피부 타입별 반응 편차 가능 — 소량 테스트 권장합니다.
3) 주의/보완: 민감성·임산부는 전성분 확인 및 패치 테스트 후 사용하세요.",skin_toner
17,A000000223425,[미백/잡티케어] 달바 비타 토닝 세럼 토너 180ml,0.13077,"베타인, 판테놀, 콜라겐","1) 성분 근거: 베타인, 판테놀, 콜라겐 기반으로 설계된 제품입니다.
2) 사용감/적합: 모델 점수 0.13로, 피부 타입별 반응 편차 가능 — 소량 테스트 권장합니다.
3) 주의/보완: 민감성·임산부는 전성분 확인 및 패치 테스트 후 사용하세요.",skin_toner
18,A000000155253,[수분진정] 아비브 어성초 카밍 토너 스킨부스터 더블 기획 (200ml+200ml),0.117016375,"어성초, 베타인, 판테놀","1) 성분 근거: 어성초, 베타인, 판테놀 기반으로 설계된 제품입니다.
2) 사용감/적합: 모델 점수 0.12로, 피부 타입별 반응 편차 가능 — 소량 테스트 권장합니다.
3) 주의/보완: 민감성·임산부는 전성분 확인 및 패치 테스트 후 사용하세요.",skin_toner
19,A000000216350,아누아 어성초 77 수딩 토너 250ml 기획 (+로션100ml),0.11185948,"어성초, 베타인, 판테놀","1) 성분 근거: 어성초, 베타인, 판테놀 기반으로 설계된 제품입니다.
2) 사용감/적합: 모델 점수 0.11로, 피부 타입별 반응 편차 가능 — 소량 테스트 권장합니다.
3) 주의/보완: 민감성·임산부는 전성분 확인 및 패치 테스트 후 사용하세요.",skin_toner
