token,count,INCI
소듐스테아로일글루타메이트,3,SODIUM STEAROYL GLUTAMATE
포타슘솔베이트,3,POTASSIUM SORBATE
세틸알코올,3,CETYL ALCOHOL
사이클로펜타실록세인,3,CYCLOPENTASILOXANE
글리세릴폴리메타크릴레이트,3,GLYCERYL POLYMETHACRYLATE
피브이엠/엠에이코폴리머,3,PVM/MA COPOLYMER
비닐다이메티콘,3,VINYL DIMETHICONE
징크글루코네이트,3,ZINC GLUCONATE
폴리메틸실세스퀴옥세인,3,POLYMETHYLSILSESQUIOXANE
카프릴로일글라이신,3,CAPRYLOYL GLYCINE
인도멀구슬나무잎추출물,3,MELIA AZADIRACHTA LEAF EXTRACT
트레할로오스,3,TREHALOSE
야콘뿌리즙,3,POLYMNIA SONCHIFOLIA ROOT JUICE
인도멀구슬나무꽃추출물,3,MELIA AZADIRACHTA FLOWER EXTRACT
알파-글루칸올리고사카라이드,3,ALPHA-GLUCAN OLIGOSACCHARIDE
비트레오스실라발효물,3,VITREOSCILLA FERMENT
가지열매추출물,3,SOLANUM MELONGENA (EGGPLANT) FRUIT EXTRACT
울금뿌리추출물,3,CURCUMA LONGA (TURMERIC) ROOT EXTRACT
펜타에리스리틸테트라-다이-T-부틸하이드록시하이드로신나메이트,3,PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE
메틸트라이메티콘,3,METHYL TRIMETHICONE
아이비고드열매추출물,3,COCCINIA INDICA FRUIT EXTRACT
홀리바질잎추출물,3,OCIMUM SANCTUM LEAF EXTRACT
다이메틸실란올하이알루로네이트,3,DIMETHYLSILANOL HYALURONATE
글리세릴아크릴레이트/아크릴릭애씨드코폴리머,3,GLYCERYL ACRYLATE/ACRYLIC ACID COPOLYMER
베타-글루칸,3,BETA-GLUCAN
만노오스,3,MANNOSE
알로에베라꽃추출물,3,ALOE BARBADENSIS FLOWER EXTRACT
망가니즈글루코네이트,3,MANGANESE GLUCONATE
팔미토일트라이펩타이드-1,3,PALMITOYL TRIPEPTIDE-1
소듐디엔에이,3,SODIUM DNA
하이드롤라이즈드콜라겐,3,HYDROLYZED COLLAGEN
세라마이드이오피,2,CERAMIDE EOP
카페인,2,CAFFEINE
세라마이드에이피,2,CERAMIDE AP
토코페릴아세테이트,2,TOCOPHERYL ACETATE
소듐폴리아스파테이트,2,SODIUM POLYASPARTATE
세라마이드에이에스,2,CERAMIDE AS
세라마이드엔에스,2,CERAMIDE NS
피이지-8,2,PEG-8
솔비탄올리에이트,2,SORBITAN OLEATE
올리브오일,2,OLEA EUROPAEA (OLIVE) FRUIT OIL
호호바씨오일,2,SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL
팔미토일테트라펩타이드-7,2,PALMITOYL TETRAPEPTIDE-7
티트리잎추출물,2,MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF EXTRACT
피토스테롤,2,PHYTOSTEROLS
아미노메틸프로판다이올,2,AMINOMETHYL PROPANEDIOL
아이소헥사데칸,2,ISOHEXADECANE
팔미토일헥사펩타이드-12,2,PALMITOYL HEXAPEPTIDE-12
펜타에리스리틸테트라에틸헥사노에이트,2,PENTAERYTHRITYL TETRAETHYLHEXANOATE
메도우폼씨오일,2,LIMNANTHES ALBA (MEADOWFOAM) SEED OIL
소듐벤조에이트,2,SODIUM BENZOATE
비에이치티,2,BHT
글리세릴글루코사이드,2,GLYCERYL GLUCOSIDE
아크릴레이트/암모늄메타크릴레이트코폴리머,2,ACRYLATES/AMMONIUM METHACRYLATE COPOLYMER
로즈마리잎오일,2,ROSMARINUS OFFICINALIS (ROSEMARY) LEAF OIL
칸디다,2,CANDIDA BOMBICOLA
미리스틱애씨드,2,MYRISTIC ACID
다이메티콘올,2,DIMETHICONOL
부틸렌글라이콜다이카프릴레이트/다이카프레이트,2,BUTYLENE GLYCOL DICAPRYLATE/DICAPRATE
봄비콜라/글루코오스/메틸레이프씨데이트발효물,2,CANDIDA BOMBICOLA/GLUCOSE/METHYL RAPESEEDATE FERMENT
스핑고리피드,2,SPHINGOLIPIDS
다이카프릴릴카보네이트,2,DICAPRYLYL CARBONATE
올레익애씨드,2,OLEIC ACID
펜타에리스리틸테트라아이소스테아레이트,2,PENTAERYTHRITYL TETRAISOSTEARATE
하이드록시프로필비스팔미타마이드엠이에이,2,HYDROXYPROPYL BISPALMITAMIDE MEA
아라키딕애씨드,2,ARACHIDIC ACID
에틸헥실팔미테이트,2,ETHYLHEXYL PALMITATE
하이드록시프로필비스라우라마이드엠이에이,2,HYDROXYPROPYL BISLAURAMIDE MEA
호호바에스터,2,JOJOBA ESTERS
자일리톨,2,XYLITOL
트라이펩타이드-1,2,TRIPEPTIDE-1
글리세레스-26,2,GLYCERETH-26
폴리글리세릴-2스테아레이트,2,POLYGLYCERYL-2 STEARATE
팔미토일트라이펩타이드-5,2,PALMITOYL TRIPEPTIDE-5
아세틸테트라펩타이드-5,2,ACETYL TETRAPEPTIDE-5
아세틸레이티드글라이콜스테아레이트,2,ACETYLATED GLYCOL STEARATE
티타늄디옥사이드,2,TITANIUM DIOXIDE
알루미늄하이드록사이드,2,ALUMINUM HYDROXIDE
소듐하이알루로네이트다이메틸실란올,2,SODIUM HYALURONATE DIMETHYLSILANOL
황해쑥잎수,2,ARTEMISIA ARGYI LEAF WATER
다이메티콘/비닐다이메티콘크로스폴리머,2,DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER
마그네슘설페이트,2,MAGNESIUM SULFATE
폴리글리세릴-4아이소스테아레이트,2,POLYGLYCERYL-4 ISOSTEARATE
옥수수전분,2,ZEA MAYS (CORN) STARCH
프룩토올리고사카라이드,2,FRUCTOOLIGOSACCHARIDES
하이드롤라이즈드치자추출물,2,HYDROLYZED GARDENIA FLORIDA EXTRACT
세틸피이지/피피지-10/1다이메티콘,2,CETYL PEG/PPG-10/1 DIMETHICONE
트라이하이드록시스테아린,2,TRIHYDROXYSTEARIN
글리세릴스테아레이트시트레이트,2,GLYCERYL STEARATE CITRATE
알로에베라잎수,2,ALOE BARBADENSIS LEAF WATER
3-부탄다이올,2,BUTANEDIOL
세린,2,SERINE
락토바실러스발효물,2,LACTOBACILLUS FERMENT
레시틴,2,LECITHIN
수크로오스,2,SUCROSE
하이드록시에틸우레아,2,HYDROXYETHYL UREA
트라이실록세인,1,TRISILOXANE
녹차추출물,1,CAMELLIA SINENSIS LEAF EXTRACT
흰무늬엉겅퀴추출물,1,SILYBUM MARIANUM EXTRACT
만주자작나무껍질추출물,1,BETULA PLATYPHYLLA JAPONICA BARK EXTRACT
효모용해추출물,1,SACCHAROMYCES LYSATE EXTRACT
알로에베라잎추출물,1,ALOE BARBADENSIS LEAF EXTRACT
테르무스,1,THERMUS THERMOPHILLUS FERMENT
카프릴로일살리실릭애씨드,1,CAPRYLOYL SALICYLIC ACID
폴리글리세린-3,1,POLYGLYCERIN-3
폴리글리세릴-3비즈왁스,1,POLYGLYCERYL-3 BEESWAX
아크릴아마이드/소듐아크릴로일다이메틸타우레이트코폴리머,1,ACRYLAMIDE/SODIUM ACRYLOYLDIMETHYLTAURATE COPOLYMER
변성알코올,1,ALCOHOL DENAT.
디메치콘,1,DIMETHICONE
피이지-6카프릴릭/카프릭글리세라이드,1,PEG-6 CAPRYLIC/CAPRIC GLYCERIDES
피피지-6-데실테트라데세스-30,1,PPG-6-DECYLTETRADECETH-30
글리세릴이소스테아레이트,1,GLYCERYL ISOSTEARATE
티트리잎수,1,MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF WATER
티트리추출물,1,MELALEUCA ALTERNIFOLIA (TEA TREE) EXTRACT
티트리꽃/잎/줄기추출물,1,MELALEUCA ALTERNIFOLIA (TEA TREE) FLOWER/LEAF/STEM EXTRACT
티트리잎오일,1,MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL
폴리글리세릴-3다이스테아레이트,1,POLYGLYCERYL-3 DISTEARATE
글리세릴카프,1,GLYCERYL CAPRYLATE
릴레이트,1,GLYCERYL CAPRYLATE
이눌린라우릴카바메이트,1,INULIN LAURYL CARBAMATE
황해쑥,1,ARTEMISIA ARGYI
잎추출물,1,LEAF EXTRACT
병풀꽃/잎/줄기추출물,1,CENTELLA ASIATICA FLOWER/LEAF/STEM EXTRACT
아이소프로필아이소스테아레이트,1,ISOPROPYL ISOSTEARATE
피이지/피피지-18/18다이메티콘,1,PEG/PPG-18/18 DIMETHICONE
올리브추출물,1,OLEA EUROPAEA (OLIVE) FRUIT EXTRACT
밀겨추출물,1,TRITICUM VULGARE (WHEAT) BRAN EXTRACT
페트롤라툼,1,PETROLATUM
유청단백질,1,WHEY PROTEIN
리놀레익애씨드,1,LINOLEIC ACID
피리독신디팔미테이트,1,PYRIDOXINE DIPALMITATE
폴리실리콘-11,1,POLYSILICONE-11
피이지-150,1,PEG-150
소듐헥사메타포스페이트,1,SODIUM HEXAMETAPHOSPHATE
미네랄오일,1,MINERAL OIL
폴리글리세릴-4다이아이소스테아레이트/폴리하이드록시스테아레이트/세바케이트,1,POLYGLYCERYL-4 DIISOSTEARATE/POLYHYDROXYSTEARATE/SEBACATE
징크스테아레이트,1,ZINC STEARATE
카퍼설페이트,1,COPPER SULFATE
소듐메타포스페이트,1,SODIUM METAPHOSPHATE
아스파틱애씨드,1,ASPARTIC ACID
글루타믹애씨드,1,GLUTAMIC ACID
이노시톨,1,INOSITOL
발효물,1,FERMENT
비스-하이드록시에톡시프로필다이,1,BIS-HYDROXYETHOXYPROPYL DIMETHICONE
메티콘,1,METHICONE
하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코,1,HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER
폴리머,1,POLYMER
징크설페이트,1,ZINC SULFATE
포도덩굴추출물,1,VITIS VINIFERA (GRAPE) VINE EXTRACT
라우레스-3,1,LAURETH-3
라미나리아,1,LAMINARIA
오크롤레우카추출물,1,OCHROLEUCA EXTRACT
아세틸다이펩타이드-1세틸에스터,1,ACETYL DIPEPTIDE-1 CETYL ESTER
람노오스,1,RHAMNOSE
아세틸테트라펩타이드-2,1,ACETYL TETRAPEPTIDE-2
헥사펩타이드-11,1,HEXAPEPTIDE-11
헥사펩타이드-9,1,HEXAPEPTIDE-9
피씨,1,PCA DIMETHICONE
에이다이메티콘,1,PCA DIMETHICONE
아이소펜틸다이올,1,ISOPENTYLDIOL
실리카다이메틸실릴레이트,1,SILICA DIMETHYL SILYLATE
C12-16알코올,1,C12-16 ALCOHOLS
호박가루,1,CUCURBITA PEPO (PUMPKIN) POWDER
드럼스틱씨오일,1,MORINGA OLEIFERA SEED OIL
산양삼추출물,1,PANAX GINSENG ROOT EXTRACT
코코넛야자오일,1,COCOS NUCIFERA (COCONUT) OIL
소듐카보머,1,SODIUM CARBOMER
사이클로헥사실록세인,1,CYCLOHEXASILOXANE
마카다미아씨오일,1,MACADAMIA TERNIFOLIA SEED OIL
하이드로제네이티드채종유,1,HYDROGENATED RAPESEED OIL
안하이드로자일리톨,1,ANHYDROXYLITOL
다이펩타이드-2,1,DIPEPTIDE-2
올리고펩타이드-1,1,OLIGOPEPTIDE-1
모란뿌리추출물,1,PAEONIA SUFFRUTICOSA ROOT EXTRACT
C13-15알케인,1,C13-15 ALKANE
자일리틸글루코사이드,1,XYLITYLGLUCOSIDE
불가리스쑥오일,1,ARTEMISIA VULGARIS OIL
포타슘세틸포스페이트,1,POTASSIUM CETYL PHOSPHATE
돌콩추출물,1,GLYCINE SOJA (SOYBEAN) SEED EXTRACT
헥실데실라우레이트,1,HEXYLDECYL LAURATE
헥실데칸올,1,HEXYLDECANOL
수크로오스다이스테아레이트,1,SUCROSE DISTEARATE
카프릴릭/카프릭트라이,1,CAPRYLIC/CAPRIC TRIGLYCERIDE
글리세라이드,1,GLYCERIDES
병풀잎수,1,CENTELLA ASIATICA LEAF WATER
트라이프로필렌글라이콜,1,TRIPROPYLENE GLYCOL
하이드롤라이즈드맥아추출물,1,HYDROLYZED MALT EXTRACT
하이드롤라이즈드삼색제비꽃추출물,1,HYDROLYZED VIOLA TRICOLOR EXTRACT
글리세레스-25피씨에이아이소스테아레이트,1,GLYCERETH-25 PCA ISOSTEARATE
폴록사머407,1,POLOXAMER 407
식물성스쿠알란,1,SQUALANE
폴리글리세릴-10다이스테아레이트,1,POLYGLYCERYL-10 DISTEARATE
미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이,1,MYRISTOYL/PALMITOYL OXOSTEARAMIDE/ARACHAMIDE MEA
토코페릴,1,TOCOPHERYL
아세테이트,1,ACETATE
카놀라오일,1,CANOLA OIL
비사보롤,1,BISABOLOL
메틸카프로오일타이로지네이트,1,METHYL CAPROOYL TYROSINATE
서양배추출물,1,PYRUS COMMUNIS (PEAR) FRUIT EXTRACT
연필향나무오일,1,JUNIPERUS VIRGINIANA OIL
다마스크장미꽃수,1,ROSA DAMASCENA FLOWER WATER
멜론추출물,1,CUCUMIS MELO (MELON) FRUIT EXTRACT
오리스뿌리추출물,1,IRIS FLORENTINA ROOT EXTRACT
서양송악잎/줄기추출물,1,HEDERA HELIX (IVY) LEAF/STEM EXTRACT
광곽향오일,1,POGOSTEMON CABLIN OIL
알루로네이트,1,HYALURONATE
하이드롤라이즈드글라이코사미노글리칸,1,HYDROLYZED GLYCOSAMINOGLYCANS
매실추출물,1,PRUNUS MUME FRUIT EXTRACT
인동덩굴꽃추출물,1,LONICERA JAPONICA (HONEYSUCKLE) FLOWER EXTRACT
황금추출물,1,SCUTELLARIA BAICALENSIS ROOT EXTRACT
카르노신,1,CARNOSINE
글루타티온,1,GLUTATHIONE
아세틸테트라펩타이드-3,1,ACETYL TETRAPEPTIDE-3
아디픽애씨드,1,ADIPIC ACID
벤질글라이콜,1,BENZYL GLYCOL
라즈베리케톤,1,RASPBERRY KETONE
비스-피이지-18메틸에터다이메틸실레인,1,BIS-PEG-18 METHYL ETHER DIMETHYL SILANE
수크로오스스테아레이트,1,SUCROSE STEARATE
피이지-8스테아레이트,1,PEG-8 STEARATE
미리스틸미리스테이트,1,MYRISTYL MYRISTATE
살구씨오일,1,PRUNUS ARMENIACA (APRICOT) KERNEL OIL
아보카도오일,1,PERSEA GRATISSIMA (AVOCADO) OIL
쌀겨오일,1,ORYZA SATIVA (RICE) BRAN OIL
스위트아몬드오일,1,PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL
돌콩오일,1,GLYCINE SOJA (SOYBEAN) OIL
슈도알테로모나스발효추출물,1,PSEUDOALTEROMONAS FERMENT EXTRACT
마그네슘아스코빌포스페이트,1,MAGNESIUM ASCORBYL PHOSPHATE
황색4호ILN48715/ILN48715,1,YELLOW 4
하이드록시팔미토일스핑가닌,1,HYDROXYPALMITOYL SPHINGANINE
살리실릭애씨드,1,SALICYLIC ACID
로즈마리잎추출물,1,ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT
하이드로제네이티드식물성오일,1,HYDROGENATED VEGETABLE OIL
카나우바왁스,1,COPERNICIA CERIFERA (CARNAUBA) WAX
하이드로제네이티드올리브오일라우릴에스터,1,HYDROGENATED OLIVE OIL LAURYL ESTERS
라벤더오일,1,LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL
덱스판테놀,1,DEXPANTHENOL
글리세릴아라키도네이트,1,GLYCERYL ARACHIDONATE
글리세릴리놀리에이트,1,GLYCERYL LINOLEATE
글리세릴리놀리네이트,1,GLYCERYL LINOLENATE
세테아릴글루코사이드,1,CETEARYL GLUCOSIDE
다이포타슘글리시리제이트,1,DIPOTASSIUM GLYCYRRHIZATE
글라이신,1,GLYCINE
히스티딘,1,HISTIDINE
아이소트라이데실아이소노나노에이트,1,ISOTRIDECYL ISONONANOATE
트라이데세스-6,1,TRIDECETH-6
미리스틸알코올,1,MYRISTYL ALCOHOL
라우릴알코올,1,LAURYL ALCOHOL
아이소노닐아이소노나노에이트,1,ISONONYL ISONONANOATE
에틸헥실올리베이트,1,ETHYLHEXYL OLIVATE
소듐아크릴레이트코폴리머,1,SODIUM ACRYLATE COPOLYMER
소듐폴리아크릴로일다이메틸타우레,1,SODIUM POLYACRYLOYLDIMETHYL TAURATE
폴리글리세릴-4올리에이트,1,POLYGLYCERYL-4 OLEATE
사이아노코발아민,1,CYANOCOBALAMIN
꿀풀추출물,1,PRUNELLA VULGARIS EXTRACT
블래더랙추출물,1,FUCUS VESICULOSUS EXTRACT
노니열매추출물,1,MORINDA CITRIFOLIA FRUIT EXTRACT
테르모필루스발효물,1,THERMOPHILUS FERMENT
올레스-10,1,OLETH-10
알로에베라잎폴리사카라이드,1,ALOE BARBADENSIS LEAF POLYSACCHARIDES
락토바실러스발효용해물,1,LACTOBACILLUS FERMENT LYSATE
사카라이드아이소머레이트,1,SACCHARIDE ISOMERATE
여주열매추출물,1,MOMORDICA CHARANTIA FRUIT EXTRACT
오크라열매추출물,1,HIBISCUS ESCULENTUS FRUIT EXTRACT
다이페닐실록시페닐트라이메티콘,1,DIPHENYLSILOXY PHENYL TRIMETHICONE
피씨에이다이메티콘,1,PCA DIMETHICONE
C12-13알케스-9,1,C12-13 ALKETH-9
폴리글리세릴-6다이스테아레이트,1,POLYGLYCERYL-6 DISTEARATE
세틸에스터,1,CETYL ESTERS
그린와틀꽃왁스,1,ACACIA DECURRENS FLOWER WAX
해바라기씨왁스,1,HELIANTHUS ANNUUS (SUNFLOWER) SEED WAX
세테아릴아이소노나노에이트,1,CETEARYL ISONONANOATE
카퍼글루코네이트,1,COPPER GLUCONATE
하이드록시프로필스타치포스페이트,1,HYDROXYPROPYL STARCH PHOSPHATE
클로렐라,1,CHLORELLA
불가리스추출물,1,VULGARIS EXTRACT
소듐헤파린,1,SODIUM HEPARIN
쑥잎추출물,1,ARTEMISIA PRINCEPS LEAF EXTRACT
하이드로제네이티드쌀겨오일,1,HYDROGENATED RICE BRAN OIL
프룩토오스,1,FRUCTOSE
석시닉애씨드,1,SUCCINIC ACID
비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,1,VINYL DIMETHICONE/METHICONE SILSESQUIOXANE CROSSPOLYMER
폴리글리세릴-10스테아레이트,1,POLYGLYCERYL-10 STEARATE
